wd_id,wp_id,slug,name,occupation,prob_ratio,gender,twitter,alive,l,hpi_raw,bplace_name,bplace_lat,bplace_lon,bplace_geonameid,bplace_country,bplace_continent,date,birthyear,dplace_name,dplace_lat,dplace_lon,dplace_geonameid,dplace_country,dplace_continent,deathdate,deathyear,bplace_geacron_name,dplace_geacron_name,region,is_group,l_,age,non_en_page_views,coefficient_of_variation,value,occupation_rank,occupation_rank_unique,birthyear_rank,birthyear_rank_unique,bplace_country_rank,bplace_country_rank_unique,bplace_name_rank,bplace_name_rank_unique,deathyear_rank,deathyear_rank_unique,dplace_country_rank,dplace_country_rank_unique,dplace_name_rank,dplace_name_rank_unique,id
q2274,308272,Chet_Baker,Chet Baker,MUSICIAN,0,M,,FALSE,47,26.3022231564699,"Yale, Oklahoma",36.11472222,-96.69833333,130517,United States,,1929-12-23,1929,Amsterdam,52.36666667,4.9,12970,Netherlands,,1988-05-13,1988,,Netherlands,,FALSE,7.19177384084215,90,294669,3.26572656076607,68.8837995851489,44,44,20,20,265,265,1,1,5,5,30,30,5,5,308272
q457595,594132,Samoth,Samoth,MUSICIAN,1.51977306332091,M,,TRUE,16,16.6414428490892,Hammerfest,70.6625,23.68333333,,Norway,,1974-06-09,1974,,,,,,,,,,,,FALSE,5.56203764202883,45,22393,2.06079922233483,36.7358030496183,1786,1786,279,279,336,336,1,1,,,,,,,594132
q491089,222096,Sonny_Fortune,Sonny Fortune,MUSICIAN,15.296378270022,M,,FALSE,15,16.7134382325034,Philadelphia,39.95277778,-75.16361111,50585,United States,,1939-05-19,1939,New York City,40.661,-73.944,645042,United States,,,,United States,,,FALSE,2.69403278335907,80,1302,2.76588742762091,36.9753807299847,1770,1770,360,360,8593,8593,168,168,,,4948,4948,622,622,222096
q441388,849580,Maxim_Vengerov,Maxim Vengerov,MUSICIAN,12.4787712480873,M,,TRUE,21,17.6178497309469,Novosibirsk,55.05,82.95,63065,Russia,,,1974,,,,,,,,,,,,FALSE,6.37674784941432,45,24348,1.91103147226385,39.9849738263565,1558,1558,182,182,1478,1478,5,5,,,,,,,849580
q505749,339203,Chick_Webb,Chick Webb,MUSICIAN,2.80565981556678,M,,FALSE,18,19.9366604242823,Baltimore,39.28333333,-76.61666667,26997138,United States,,1905-02-10,1905,Baltimore,39.28333333,-76.61666667,26997138,United States,,1939-06-16,1939,,United States,,TRUE,3.11502139721149,114,12904,2.71364503091356,47.7012364639558,903,903,175,175,4335,4335,36,36,78,78,3151,3151,25,25,339203
q332525,5135221,Shannon_Leto,Shannon Leto,MUSICIAN,3.42294877539303,M,ShannonLeto,TRUE,31,18.3883841311748,"Bossier City, Louisiana",32.51777778,-93.69138889,115504,United States,,1970-03-09,1970,,,,,,,,,United States,,,TRUE,4.02222832972497,49,62818,3.46812553136838,42.5490666264077,1363,1363,159,159,6512,6512,2,2,,,,,,,5135221
q1046616,2073711,Tim_Rice-Oxley,Tim Rice-Oxley,MUSICIAN,5.8928266693096,M,,TRUE,21,14.7279750567628,Oxford,51.75194444,-1.25777778,22308,United Kingdom,,1976-06-02,1976,,,,,,,,,United Kingdom,,,TRUE,2.83229993687973,43,13069,2.74389556272879,30.3683923435115,2066,2066,529,529,4471,4471,31,31,,,,,,,2073711
q361888,4060810,Gavin_Harrison,Gavin Harrison,MUSICIAN,8.96482826762638,M,,TRUE,20,18.3168897966447,London Borough of Harrow,51.56666667,-0.33333333,94427,United Kingdom,,1963-05-28,1963,,,,,,,,,United Kingdom,,,FALSE,4.53004005110917,56,28822,2.383590671848,42.3111562769689,1381,1381,268,268,3418,3418,3,3,,,,,,,4060810
q547660,218796,"Robert_John_""Mutt""_Lange","Robert John ""Mutt"" Lange",MUSICIAN,5.82148456318732,M,,TRUE,18,17.1954615390392,Mufulira,-12.55,28.23333333,2403942,Zambia,,1948-11-11,1948,,,,,,,,,East Africa - United Kingdom,,,FALSE,1.59655958970577,71,19048,3.76434938441364,38.5794006016216,1682,1682,424,424,11,11,3,3,,,,,,,218796
q4271,183387,Mark_Hoppus,Mark Hoppus,MUSICIAN,0,M,MarkHoppus,TRUE,36,17.9834878490447,"Ridgecrest, California",35.6225,-117.67083333,107555,United States,,1972-03-15,1972,,,,,,,,,,,,TRUE,2.9968760738497,47,95024,4.44984871418303,41.2017009001402,1475,1475,189,189,7073,7073,1,1,,,,,,,183387
q470848,376223,Mel_Tormé,Mel Tormé,MUSICIAN,2.6793195561082,M,,FALSE,18,18.3154307404149,Chicago,41.88444444,-87.6325,6886,United States,,1925-09-13,1925,Los Angeles,34.05,-118.25,18110,United States,,1999-06-05,1999,United States,United States,,FALSE,1.73513783210489,94,12056,3.46287319024004,42.3063010030541,1383,1383,296,296,6614,6614,224,224,182,182,4310,4310,450,450,376223
q968070,1475388,Jack_Casady,Jack Casady,MUSICIAN,41.0714622443676,M,,TRUE,15,17.3111024476636,"Washington, D.C.",38.90472222,-77.01638889,108956,United States,,1944-04-13,1944,,,,,,,,,United States,,,FALSE,1.9982551957346,75,9245,3.03676935733205,38.9642166735681,1644,1644,432,432,7935,7935,98,98,,,,,,,1475388
q982784,10038134,Kavinsky,Kavinsky,MUSICIAN,18.9590761392923,M,iamKAVINSKY,TRUE,19,17.4845820771395,Seine-Saint-Denis,48.9,2.48333333,90614,France,,1975-07-31,1975,,,,,,,,,,,,FALSE,4.71186507502595,44,61542,2.1418168437742,39.5415015667062,1605,1605,173,173,3403,3403,1,1,,,,,,,10038134
q63556,28258485,Alice_Herz-Sommer,Alice Herz-Sommer,MUSICIAN,7.81469562302095,F,,FALSE,23,21.8434146781028,Prague,50.08333333,14.41666667,23844,Czech Republic,,,1903,London,51.50722222,-0.1275,17867,United Kingdom,,2014-02-23,2014,,,,FALSE,6.72635285948746,116,9819,2.36482722047848,54.046306654518,452,452,99,99,73,73,77,77,106,106,1080,1080,278,278,28258485
q1752954,1311308,Paweł_Mąciwoda,Paweł Mąciwoda,MUSICIAN,11.2931945293062,M,,TRUE,21,18.8343350922348,Wieliczka,49.98333333,20.06666667,16815,Poland,,1967-02-20,1967,,,,,,,,,,,,FALSE,5.91688928308231,52,37092,1.97725187343682,44.0330492339225,1236,1236,165,165,699,699,2,2,,,,,,,1311308
q235515,89835,Janis_Ian,Janis Ian,MUSICIAN,3.6504733820025,F,,TRUE,24,18.5791900037774,New York City,40.661,-73.944,645042,United States,,1951-04-07,1951,,,,,,,,,United States,,,FALSE,2.41692765432655,68,27069,3.63928726707885,43.1840077322212,1311,1311,298,298,6269,6269,552,552,,,,,,,89835
q443436,1216505,Ewa_Demarczyk,Ewa Demarczyk,MUSICIAN,1.13918535042326,F,,TRUE,23,19.8382012540217,Kraków,50.06138889,19.93722222,16815,Poland,,1941-01-16,1941,,,,,,,,,Poland,,,FALSE,2.1779279906511,78,33893,3.71805243896972,47.3735957389091,936,936,269,269,643,643,39,39,,,,,,,1216505
q983689,27041117,Sam_Tsui,Sam Tsui,MUSICIAN,5.18594368253994,M,samueltsui,TRUE,17,12.8815835959809,"Blue Bell, Pennsylvania",40.14472222,-75.26888889,133342,United States,,1989-05-02,1989,,,,,,,,,,,,FALSE,2.77954450389209,30,22451,2.86323744686037,24.2241902815828,2195,2195,661,661,11396,11396,1,1,,,,,,,27041117
q221468,428893,Mike_Portnoy,Mike Portnoy,MUSICIAN,0,M,MikePortnoy,TRUE,40,23.250531303638,"Long Beach, New York",40.58605,-73.66775,645042,United States,,1967-04-20,1967,,,,,,,,,,,,TRUE,13.3755634654827,52,140318,1.67526750723833,58.7287421269645,243,243,16,16,1298,1298,1,1,,,,,,,428893
q17385969,42854258,Kendji_Girac,Kendji Girac,MUSICIAN,1.06992553834251,M,GIRACKENDJI,TRUE,23,15.1178786611175,Périgueux,45.1929,0.7217,782568,France,,1996-07-03,1996,,,,,,,,,,,,FALSE,3.16255637180805,23,294063,3.26807594526643,31.665867218539,2030,2030,98,98,3737,3737,1,1,,,,,,,42854258
q223167,2293546,Bob_Sinclar,Bob Sinclar,MUSICIAN,0,M,bobsinclar,TRUE,38,21.421337366217,Bois-Colombes,48.9175,2.2683,22989,France,,1969-05-10,1969,,,,,,,,,,,,FALSE,7.60324354473457,50,146063,2.39817070262754,52.6417679393726,540,540,53,53,2291,2291,1,1,,,,,,,2293546
q295817,2327604,Joey_Jordison,Joey Jordison,MUSICIAN,0,M,,TRUE,31,19.603238308386,"Des Moines, Iowa",41.59083333,-93.62083333,1418,United States,,1975-04-26,1975,,,,,,,,,,,,TRUE,5.05571970610688,44,250516,3.21160372277375,46.5917139734677,1011,1011,62,62,4832,4832,6,6,,,,,,,2327604
q1779007,1911547,Daniel_Svensson,Daniel Svensson,MUSICIAN,2.27522353915304,M,,TRUE,16,14.2251209494053,Gothenburg,57.7,11.96666667,11861,Sweden,,1977-11-20,1977,,,,,,,,,Sweden,,,TRUE,4.59457751508476,42,4738,2.18003123650517,28.6950542086142,2121,2121,535,535,834,834,59,59,,,,,,,1911547
q122232,163268,Ginger_Baker,Ginger Baker,MUSICIAN,128.174551181073,M,,TRUE,32,22.2997120226259,Lewisham,51.4614563,-0.00537,17867,United Kingdom,,,1939,,,,,,,,,,,,TRUE,3.052710492861,80,89057,4.14463815436533,55.5647187272666,361,361,105,105,1240,1240,5,5,,,,,,,163268
q356994,348103,Jarvis_Cocker,Jarvis Cocker,MUSICIAN,6.69851620962301,M,,TRUE,22,17.607574265038,Sheffield,53.38333333,-1.46666667,88885,United Kingdom,,1963-09-19,1963,,,,,,,,,United Kingdom,,,FALSE,2.78038683376445,56,44027,3.3734184176289,39.9507803521308,1563,1563,330,330,3724,3724,19,19,,,,,,,348103
q714423,1281520,Roger_Sanchez,Roger Sanchez,MUSICIAN,1.99026125994641,M,,TRUE,15,16.0385617191876,New York City,40.661,-73.944,645042,United States,,,,,,,,,,,,,,,FALSE,3.92260573284239,52,11297,2.21126189609636,34.7296068771821,1905,1905,,,9228,9228,777,777,,,,,,,1281520
q219638,13150864,Josh_Klinghoffer,Josh Klinghoffer,MUSICIAN,4.88330463219531,M,,TRUE,28,18.5423451012529,Los Angeles,34.05,-118.25,18110,United States,,1979-10-03,1979,,,,,,,,,,,,TRUE,5.24078671053064,40,166095,3.05349368226256,43.0613996445696,1317,1317,103,103,6315,6315,206,206,,,,,,,13150864
